page	mende	english	alternate	pixel_height	col
12	Ndake	Male contemporary		1735	2
12	Nyande	Male/female contemporary		1794	2
12	Nyapoi	Lady		1853	2
12	Maada	Grandfather / Paramount Chief		1912	2
12	Mama	Grandmother		1971	2
12	K_k_	Father		2030	2
12	Yie	Mother		2089	2
12	Kenya	Uncle		2148	2
12	Kinii	Youngman		2207	2
12	Mahei	Chief		2266	2
12	Nd_ Mahei	Paramount Chief		2325	2
13	K_nt_ buaa	Hello Conteh		1540	2
13	"Mm, buaa bi si_"	Hello		1601	2
13	Ndaké nya longo bi mahei ye p__la g_ a nge	I want you to show me the chief's house		1722	2
13	Mahei ye p__la l_ s_m__ gblanga t__ I ya j_siama	"The Chief's house is by the Court Barrie, but I understand he has gone for a walk"		1903	2
13	Bi k_l_ mia i ya na?	Do you know where he is gone to?		2195	2
13	Ngii k__. K_leke bi fo ngi ye p__la bi m_li bia vuii.	"I don't know, except you go to his house and ask for yourself"		2316	2
13	A wuwaa bindo	Hello here		2723	
13	Mm m_i bi waa	Hello		2778	
13	Mahei ye p__la l_?	Is this the chief's house?		2899	
13	__ i wa sange gb_ ngi ngi loi	"Yes, he has come, let me call him"		3020	
14	Mahei buwaa	Hello chief		726	
14	"Mm ndiam_ bi waa bi si_, mu g_woo"	"Hello friend, have seat"		786	
14	"Mahei, ngi waa l_ k_ mua bie mu g__ma"	"Chief, I have come to get myself acquainted with you"		968	
14	Bi lei?	What's your name?		1150	
14	Nya laa	My name is		1271	
14	Pisk_ mia a nge	I am a Peace Corps Volunteer		1331	
14	Bi gbua mil_?	Where are you coming from?		1452	
14	Ngi gbua Am_ika l_ nya longo ngi hei bi lei jihun k_ mua weni mu yaa kpaa yengei we	I'm coming from America.I want to stay in your village so that we can farm together		1628	
14	Na nyandegoi. Nga piel_ nya bondeisia ti mag_	That's good. I'll let my people know about it		1870	
14	Mahei fama loo woo gbe bi va	"Chief, here is a small gift for you"		2107	
14	"Ee, m_i bi si_, Ngew_ I ndo nya n_mahun"	"O.k. thank you youngman, let me live to remember it through God's will"		2228	
14	K_ ngi ya l_ p__la	Then I'm going home		2464	
14	E-ye mua gbla	O.k. see you		2519	
15	Kele	Elephant		583	
15	P_l_	House		649	
15	Ndopo	Child		704	
15	Sani	Bottle		765	
15	Bulu	Horn		825	
15	B_l_	Hat		886	
15	Helei	The Elephant		583	
15	P_l_i	house		649	
15	Ndopoi	child		704	
15	Sanii	bottle		765	
15	Bului	horn		825	
15	B_l_i	hat		886	
15	Mba	Rice		1419	
15	Haa	Death		1480	
15	Mbei	The rice		1414	
15	Haei	The death		1469	
15	M_m_	Mirror		1898	
15	Ndola	Baby		1953	
15	Ka_a	Box		2013	
15	M_m__	The mirror		1892	
15	Ndolaa	The baby		1947	
15	Ka_aa	The box		2013	
15	Maha	Chief		2668	
15	Ndili	Housefly		2717	
15	Hele	Elephant		2783	
15	Ndopo	Child		2849	
15	Mahangaa	Chiefs		2668	
15	Ndilingaa	Houseflies		2712	
15	Helengaa	Elephants		2772	
15	Ndopongaa	Children		2838	
15	Mahangeisia	The chiefs		3075	
15	Ndiligeisia	The houseflies		3135	
15	Helengeisia	The elephants		3251	
15	Ndopoisia	The children		3361	
15	Maheisia	The chiefs		3075	
15	Ndilisia	The houseflies		3135	
15	Heleisia	The elephants		3251	
16	Sualeni	Swaray and others		649	
16	Isani	Issa and others		715	
16	D_ktani ti ya Sal_n	Doctor and others have gone to Freetown		776	
16	Wuani we luwa	People like you don't fear		1122	
16	Tiani te naga	People like them cannot prosper		1188	
16	Wuanisia we m_h_ yana	That is not food for people like you		1546	
16	Muanisia mue jia goi	People like us don't offend others		1661	
16	Ngenge	Work		2189	
16	M_	Eat		2250	
16	Pie	Do		2310	
16	Ngengem_	Worker		2195	
16	M_m_	Eater		2255	
16	Piem_	Doer		2310	
16	Ngengem_i	The worker		2431	
16	M_moi	The eater		2497	
16	Piemoi	The doer		2541	
16	Ngengeblaa	Workers		2657	
16	M_blaa	Eaters		2712	
16	Pieblaa	Doers		2778	
16	Ngengebleisia	The workers		2899	
16	M_bleisia	The eaters		2954	
16	Piebleisia	The doers		3009	
16	Ngengem_i waa m_h_ yiimoi gama	The worker has come to the cook.		3130	
16	P__ loblaa l_ mia	The house builders are there		3245	
16	Ti humableisia hounga	The have caught the thieves		3300	
17	Nya	I		1584	
17	Bia	You		1645	
17	Ta	He/she/it		1711	
17	Mua	We		1821	
17	Wua	You		1887	
17	Tia	They		1947	
17	ngii	I not		1573	
17	bii	You not		1639	
17	ii	He/she/it not		1694	
17	mui	We not		1815	
17	wui	You not		1881	
17	tii	They not		1931	
17	Nya lima Bo	I am going to Bo		2475	
17	Bia lima Bo	You are going to Bo		2525	
17	Ta lima Bo	He/she is going to Bo		2591	
17	Mua lima Bo	We are going to Bo		2651	
17	Wua lima Bo	You are going to Bo		2706	
17	Tia lima Bo	They are going to Bo		2767	
17	Ngii lima Bo	I'm not going to Bo		3003	
17	Bii lima Bo	You are not going to Bo		3064	
17	Ii lima Bo	He is not going to Bo		3124	
17	Mui lima Bo	We are not going to Bo		3179	
17	Wui lima Bo	You are not going to Bo		3240	
17	Tii lima Bo	They are not going to Bo		3300	
18	Nga kpaa yengei l_ we	I do farm work		1216	
18	Nga mbei m__ 	I eat rice		1275	
18	Ba tisa yengei l_ we 	You do a teaching work		1334	
18	A ndowei b__	He digs a hole		1393	
18	Ma dodei m__	We eat a pig		1452	
18	Wa kpetei laa	You make swamp		1511	
18	Ta hale yengei l_ we	They do health word		1570	
18	Nge kpaa yenge we	I don't do farm work		1810	
18	Nge mba m_	I don't eat rice		1869	
18	Betisa yenge we	You don't do teaching work		1928	
18	E ndowa b_	He does not dig a hole		1987	
18	Mue ndod_ m_	We don't eat pig		2046	
18	Wue kpete la	You don't make swamp		2105	
18	Te hale yenge we	They don't do health work		2164	
18	Nga mbei m_l_ sina	I shall eat rice tomorrow		2580	
18	Nga wal_	I shall come		2635	
18	Ta kpiti hawal_ wei	The will brush the grass sometime during the day		2701	
18	Nge mba m_ sina	I will not eat rice tomorrow		2992	
18	Nge wa	I shall not come		3053	
18	Te kpiti hawa wei	They will not brush the grass		3102	
19	Nge	Me		1238	
19	Bie	You		1297	
19	Bgie	Her/Him		1356	
19	Mue	Us		1415	
19	Wue	You		1474	
19	Tie	Them		1533	
19	Hindo l_ a nge	I am a man		1958	
19	Gbe bi long_ a tie?	Why do you like them		2017	
19	A na we a mue	Do that to us		2076	
19	Y_ a gnie?	Who is he?		2135	
19	Hindo yaa a nge	I am not a man		2371	
19	Gbe bii loni a tie	Why don't you like them		2437	
19	Waa na we a mue	Don't do that to us		2497	
19	Nya long_ la	I like it		2899	
19	Nya long_ a ngie	I love him		2959	
19	Nyapoi na nya long_ la	That woman I like her		3020	
21	Ndake bia naa	Afternoon friend		1485	
21	"Mm bi si_, kahuin yena?"	"Hi, how are you?"		1546	
21	Nya ngahun gbuang_	I'm quite well		1661	
21	Bi lei?	What is your name?		1722	
21	Nya laa ____ Pisk_ mia a nge	My name is ____ I am a Peace Corps Volunteer		1837	
21	Bi gbua mi l_?	Where do you come from?		1953	
21	Ngi gbua Am_ika l_	I come from America		2074	
21	Bi vui ya lol_?	How old are your?		2129	
21	Nya vui ya fo numugb_y_ng_ mahun naani	I am twenty four years old		2255	
21	Ba gb_ yenge l_ we?	What work do you do?		2371	
21	Nga hale yengei l_ we	I am a health worker		2492	
21	Mi gbe mia bi wei ndo_ jihun?	When did you come to this country?		2552	
21	Nge wei ngawuinahup l_ I gb_y_nga	I came last month		2734	
21	"Bi si_, k_ mal_"	"Thanks, see you then"		2849	
21	E-ye	O.k.		2965	
21	Bi biyei?	What is your name?		3256	
21	Bi ye gbua?	Where are you coming from? Where do you come from?		3311	
21	Gb_ yenge mia ba pie	What work do you do?		3427	
22	Nya laa	My name is		418	
22	Bi laa	Your name is		490	
22	Bgi laa 	His/her name is		549	
22	My laa	Our name is		608	
22	Wu laa	Your name is		667	
22	Ti laa	Their name is		726	
22	Nya laa yana a	My name is not		418	
22	Nya laa yaa	My name is not		490	
22	D_kta mia a nge	I am a doctor		847	
22	Tisa mia a bie	You are a teacher		906	
22	Kpaa la moi mia a bie	You are a farmer		965	
22	D_kta ya a nge	I am not a doctor		1089	
22	Tisa ya a bie	You are not a teacher		1148	
22	Kpaa la m_ ya a bie	You are not a farmer		1207	
22	Huan mahun gbe m_ mia a nge	I am in the Parks/ I am a Parks worker		1315	
22	Tisa mia a ngie	He is a teacher		1436	
22	Huan mahun gbe m_ ya a nge	I am not a Parks worker		1551	
22	Tisa ya a ngie	He is not a teacher		1667	
22	I gbua mi l_?	Where is he/she coming from?		1782	
22	Bi maa mi l_?	Where are you going to?		1903	
22	Ngi ma teihun l_	I am going to town		1964	
23	"Stiv buwaae, ndake"	Hello! Steve		1441	
23	Mm k_k_ _m_ gb_ va kahuin?	"Hello, Pa Momoh, how are you?"		1501	
23	Kaye ii Mahein ma. _ bia b__?	"Thank God, and you"		1683	
23	Nya l__ d_d_ ma	I am managing		1799	
23	Ndake nya ndiam_ l_ a bie noe	"Man, you are my friend, o.k."		1909	
23	"Nya, nya k_k_ mia a bie"	You are my father		2041	
23	Na man_ng_ wale. Nya lo mia a bie hoe	"That's fine, then you are a child to me"		2156	
23	_ bi k_k_ taa bi nje?	Where is your father and mother?		2272	
23	Nya k_k_ yaa nya nje l_ Am_ika	My gather and mother are in America		2387	
23	Ti wovango waa?	Are they too old?		2569	
23	"__, k__ nya nje wovei Nya k_k_ ma foo sawa"	"Yes, but my mother is three years older than my father"		2629	
23	_n_n! Mua mbi nyahan e wova ngi hini ma	"Ah! We, here a wife should not be older than her husband"		2805	
23	B_ gb_h_n yama l_ na ooma	"What did you say, go over that again"		2987	
23	"Ng_, ndo_ jihun nyahan wova a le ngi nini ma"	"I said, in this country, a wife should not be older than her husband"		3157	
23	_n_n!	Mm!		3333	
24	Bi ndegaa ti lol_?	How many brothers and sisters have you?		275	
24	Nya ndegaa ti naani hingaa ti fele k_ nyahangaa ti fele	"I have four, twwo brothers and two sisters"		402	
24	Bi ndegaa kp__ ta li l_ suku?	Do all of them go to school?		638	
24	"Nva nde nyahangaa sia l_ lima suku. Nva nde hingaa tia ti kp_y_a a sukui, tia na yenge ma"	"My sisters are still attending school.  My brothers have finished school, they are now working"		759	
24	K_ bi sie hoe	Thank you then		1056	
24	E-ye k_ mal_	O.k. see you		1122	
24	Bi nde l_	This is a brother to you		1414	
24	Bi ndii l_	This is your brother		1474	
24	Bi nde nyahan lol_	This is a sister to you		1529	
24	Bi nde nyahanloi l_	This is your sister		2590	
24	Bi nde hindo l_	This is a brother to you		2650	
24	Bi nde hindoi l_	This is your brother		1711	
24	Bi k_k_	Your father		1777	
24	Bi nje	Your mother		1826	
24	Bi kenya	Your uncle		1881	
24	Nya	My		2178	
24	Bi	Your		2228	
24	Ngi	His/hers/its		2288	
24	Mu	Our		2349	
24	Wu	Your		2404	
24	Ti	Their		2470	
24	Nya lomei n_h_ng_	My shirt is dirty		2596	
24	Nya lomei ii n_h_ni	My shirt is not dirty		2657	
24	Bi ndei l_	This is your brother		2772	
24	Bi nde ya ji	This is not your brother		2833	
24	Ngi k_k_ ya teihun	His father has gone to town		2943	
24	Ngi k_k_ ii li ni teihun	His gather did not go to town		3014	
24	Ti leihun ya s_w_s_w_	Their town is clean		3124	
24	Ti leihun ii s_w_s_w_	Their town is not clean		3185	
24	Mu gbaa l_	This is our farm		3300	
24	Mu gbaa ya ji	This is not our farm		3361	
25	Wu loiblaa ti waa	Your dancers have come		732	
25	Wu loiblaa ti ya wei	Your dancers have not come		792	
25	Nya yengebl_sia ti hawang_	My workers are lazy		1089	
25	Bi nyapoisia ti lol_?	How many girl friends have you?		1161	
25	Nya nda lomei l_	This is my own shirt		1452	
25	Nya nda lomei ya ji	This is not my own shirt		1518	
25	 _ bi nda gowei?	Where is your own shoe?		1634	
25	Wu nda k_p_ ii na	Your own money is not there		1700	
25	Nya ndei ve	Give me mine		2052	
25	Bi ndeisiaa mi?	Where are yours?		2112	
25	Bi nda nyapoi ii loni a bie	Your own girlfriend does not love you		2404	
25	Ngi nda huangaa ti mumung_	His animals are very small		2525	
25	Ti ti nda b_leisia h_nga	They have sewn their own trousers		2580	
25	Ye	Who		3047	
25	Gb_	What		3108	
25	Gb__	What		3168	
25	We mia bi loni	Who sent you		3036	
25	Ye mia a ngie?	Who is he?		3108	
25	Gb__ bi wumba?	What is on your head?		3157	
25	Ye mia p__la?	Who is at home?		3218	
25	Gb_ mia ba piembi?	What do you do here?		3284	
26	Nya yekpe	Myself		583	
26	Bia yekpe	Yourself		644	
26	Ta yekpe	Him/herself		703	
26	Mua yekpe	Ourselves		762	
26	Tia yekpe	Themselves		821	
26	Nya long_ a nya yekpe	I love myself		941	
26	Ti tia yekpe __nanga	They have wounded themselves		996	
28	Ansu nya long_ ngi fee ng_	Ansu I want to go shopping		770	
28	Mu li makitihun	Let's go to the market		946	
28	Gb_ l_ a ji?	What is this?		1243	
28	Pujei mia	This is pepper		1364	
28	B_ gb_n? Ngi hum_i	What did you say? I didn't hear you		1480	
28	Nde l_ b_ma y_l_n	Say it again slowly		1656	
28	"Ng_, pujei mia a ji"	"I said, this is pepper"		1777	
28	Pu-jei. _n_n. Gb_ mia a ye na?	Pep-per. Ah. What is that one?		1898	
28	Sakii mia	That is cassava leaves		2068	
28	Pujei	Pepper		2365	
28	Lumbee/Salui	Orange		2426	
28	Jowoi	Potato		2481	
28	Yabasi/Sibaa	Onions		2541	
28	Mbei	Rice		2602	
28	Nguloi	Oil		2662	
28	T_woi	Beans		2717	
28	H_ndu_	green beans		2772	
28	Nikii	Groundnut		2833	
28	Gl_ gboi	Palm oil		2893	
28	T_ yawui	Egg		2954	
28	Tei	Fowl		3014	
28	Huin	Meat		3075	
28	Nyi	Fish		3130	
28	Ny_ wundi	Raw fish		3190	
28	Ny_ bi	Dried fish		3245	
28	Fujei l_	This is pepper		2343	
29	Ji	This		1590	
29	Na	That		1716	
29	Jisia	Nasia		1579	
29	Nasia	Those		1700	
29	Pujei mia a ji	This is pepper		1898	
29	Ji m_	Eat this		1947	
29	Na vemb_	Give me that one		2008	
29	Na yekpei ji ma	That is better than this		2074	
29	Jisia ti nyandei nasia ma	These are prettier than those		2129	
30	Yie bia naa	"Afternoon, mum"		1532	
30	"Mm, nya lui bia naa"	"Yea, afternoon my child"		1596	
30	Gb__ nga pie bie?	What can I do for you?		1660	
30	T__ ngei jidia ti j_ng_i?	What is the cost of these fowls?		1772	
30	Pon numufele gb_y_ng_ yila va	Le40.00 each		1892	
30	Ti baa gba ng_i yo	They are expensive though		2068	
30	Be mahun yei klo nya w_?	Won't you reduce this price for me?		2132	
30	Gb_nj_ng_ mia bi yeya?	How much do you have?		2248	
30	Pon numugb_ng_ mahun puu mia nya yeya.	I have Le30.00		2360	
30	Pon l__lu glua na ma	Add Le10.00 to that		2488	
30	Kon_ le ngi na ve	Please let me pay that.		2604	
30	Gb_-o-gb_ ii ya nya yeya	I have nothing left with me		2664	
30	K_ wa la	Brithing it then		2720	
30	"Tagbe, baika hoe"	"Here it is, thank you."		2840	
30	Nya ndiam_ mia a bie na	You are now my friend		2896	
30	E-ye mal_	O.k. see you		2956	
30	Tei gb_ j_ng_?	How much is the fowl?		3252	
30	P_ l__lu gb_i na ma.	Add Le10.00 to that		3368	
30	Be t_nga gbua ma nua w_?	Won't you reduce the price for me?		3488	
32	Nya long_ a sakii	I want cassava leaf		1408	
32	Nya long_ ngi nikii yeya	I want to buy groundnuts		1528	
32	Ngi paa waa Saloi na va	I won't pay for the orange		1648	
32	Bi gba gbi ya nya ma	I don't owe you anything more		1768	
32	Fufu m_ min mia ha n a ma	I want to eat fufu today		1892	
32	Nya long_ ha ngi tangei m_	I want to eat cassava root today		2008	
32	B_nd_ hapkei mia ha nga m_	I am going to eat okra plasa today		2116	
33	Maada bia naa	"Good afternoon, oldman/grandpa"		1160	
33	"Mm, nya lui bi si_"	"Hi, good day my son"		1280	
33	Maada nya n damui l_ ngi laa Al	"Grandpa, this is my friend: he is called Al"		1344	
33	Al buaa nya gohun n_ng_ bi l_ va	"Good day Al, I'm glad to see you"		1524	
33	Nya b__ nya gohun n_ng_ bi l_ va	I am also happy to see you		1644	
33	Ba yenge mi/l_?	Where do you work?		1816	
33	Nga yenge Otamba l_	I work at Outamba		1876	
33	"Mu ng_woo, hewui bge"	Please have a seat		1992	
33	Bi si_	Thank you		2052	
33	Ba gb_ yenge l_ wie?	What work do you do?		2352	
33	Gb_ yenge mia ba pie?	What work do you do?		2468	
33	Mi mia ba yenge na?	Where do you work?		2584	
35	Jon s_l_i m_nga	John has eaten the banana		720	
35	Ndopoi k_ti wiinga	The child has thrown the stone		836	
35	Kam_ ngi lewenga	The teacher has beaten him		960	
35	I nja lowei b_nga	He has dug a well		1076	
35	I wind_nga	He has jumped		1488	
35	Ti wim_nga	They have run		1608	
35	Mua yiima	We are sleeping		1728	
35	Taa y__ma	He is laughing		1844	
35	Wua lapima	You are fighting		1960	
35	Tia laapima	They are swimming		2076	
35	Nga f_mb_l_	I'll swing it/I swing it		2604	
35	Jo pind_nga	Joe has jumped it		2724	
35	A kotol_	He will bend it		2844	
35	Ba v_mb_l_	You will swing		2964	
35	Wu potenga	You have turned it		3076	
36	L_	go up		848	
36	Wa	Come		964	
36	Li	Go		1076	
36	La	Lie down		1196	
36	F_nda	Fill it		1488	
36	Njoyo	Send it		1612	
36	Ngat_	Set it		1724	
36	Koto	Bend it		1852	
36	Swale l_ loma	Swaray is standing (act)		2316	
36	Swale l_ loni	Swaray is standing (state)		2436	
36	Nyaa hema	I am sitting (act)		2556	
36	Nyaa heni	I am sitting (state)		2686	
36	Taa w__ni	He is bowing down (state)		2792	
36	Taa w__ma	He is bowing down (act)		2908	
37	Nyaa	I am		512	
37	Biaa	You are		632	
37	Taa	He/she is		752	
37	Muaa	We are		872	
37	Wuaa	You are (plu)		988	
37	Tiaa	They are		1108	
37	Nya yana	I am not		484	
37	Bia yana	You are not		608	
37	Ya yana	He/she is not		724	
37	Mua yana	We are not		840	
37	Wua yana	You are not		964	
37	Tia yana	They are not		1080	
37	Ngi y__	I was		1396	
37	Bi y__	You were		1516	
37	I y__	He/she was		1636	
37	Mu y__	We were		1756	
37	Wu y__	You were		1872	
37	Ti y__	They were		1988	
37	Ngi y__ na	I was there		2108	
37	Ngii y_ na	I was not there		2224	
37	Nga y__ l_	I will be		2636	
37	A y__ l_	He/she will be		2752	
37	Ba y__ l_	You will be		2864	
37	Mua y__ l_	We will be		2980	
37	Ta y__ l_	They will be		3100	
37	Nga y__ l_ na	I will be there		3212	
37	Ngei y__ na	I will not be there		3332	
38	Tewe	Cut		888	
38	Mbla	Tear		952	
38	Pote	Turn		1008	
38	Faya	Scatter		1068	
38	Pili	Throw		1124	
38	Nyande	Beautiful		1492	
38	N_h_n	Dirty		1540	
38	Nyamu	Ugly		1604	
38	Ngila	One		1844	
38	Sawa	Three		1904	
38	Puu	Ten		1960	
38	Fele	Two		2020	
38	Flo	Quickly		2248	
38	Y_l_n	Slowly		2312	
40	Nyande/ndake bia naa	Afternoon dear		1528	
40	Mm buwaa bi si_	Afternoon		1588	
40	Nga t_ haka hui bi yeya. Bi ye lima a gendei ji?	I see you with a luggage. Where are going to this morning?		1708	
40	Ngi lima M_yamba l_	I'm going to Moyamba		1888	
40	Mindo mia nga motoi	Where can I get a vehicle?		2008	
40	"Lo leke j_nsoe la, m_toi ya le ma bi to, bi m_li mia I lima na"	"Just stand at the juction, when any vehicle comes by, stop in and enquire where it is going to"		2120	
40	"D_va buaa, bi lima mil_?"	"Hello driver, where are you going to?"		2592	
40	Bia bi lima mi l_?	Where are you going to?		2708	
40	Ngi lima M_yamba l_	I'm going to Moyamba		2820	
40	Nya b_ ngi lima na l_	I'm also going there		2884	
40	Gb_ j_g_ mia li va?	What is the fare to go there?		2996	
40	P_n nunaani gb_g_	Hundred and sixty leones		3120	
41	Kpoo! Kpotogoi yo	Oh! It's too much		288	
41	K_n_le ngi p_n nusawa gb_g_mahun l__lu ve	Please let me pay hundred and thirty leones		348	
41	"Ndake na glo g_, p_n l__lu la ma"	That is small please add ten leones		476	
41	Kulu goi	O.k.		660	
41	Hakaa bi yeya?	Do you have any luggage		724	
41	Duvu bagi wui ji mia lee nya yeya. Nga too l_ pen ng_ma	I only have this small rafia bag. I can put it on my lap		848	
41	K_ l_ yo	Get in then		1032	
41	"Ndiam_ bi si_, k_n_le malukpe nya w_ hoe"	"Good day friend, please shift a little for me."		1328	
41	Baika	Thank you		1504	
41	Bia b_ bi ma M_yamba l_?	Are you also going to Moyamba?		1568	
41	__	Yes		1688	
41	Bia bi womia a mbalei ji?	Are you the owner of this sheep?		1804	
41	"__, ngi ma saa l_ gbiama"	"Yes, I'm going to offer sacrifice"		1928	
41	Bi ma mi l_?	Where are you going to?		2292	
41	Ba li mi?	Where are you going to?		2408	
41	Nga m_toi maj_ mil_?	Where can I get a vehicle?		2528	
41	Nga m_toi wumbu mil_?	Where can I get a vehicle?		2648	
41	Ngi bi ng_ a p_n…	Let me pay… Leones		2760	
42	Nga ye pie ngi m_toi maj_?	How can I get a vehicle?		416	
42	Mind_ ma m_to l_?	Where is this vehicle from/going to?		592	
42	M_toi ji ye lima?	Where is this vehicle going to?		708	
42	Ye m_t_ l_?	Whose vehicle is this?		828	
42	Bia bi wol_ a m_toi ji?	Are you the owner of this vehicle?		944	
42	Li a nge O	Please take me along		1068	
42	D_va nya gbuja bei	Put me down here		1176	
42	Hemaa na nya vaa?	Is there any space for me?		1296	
42	Mua lil_ suku	We go to school		2060	
42	Ta kpetei la a hamei l_	They make swamp during the rainy season		2180	
42	A kpaa lal_ fo gbi	He makes a farm every year		2356	
42	Nga li ngengemi a gendei l_	I go to work every morning		2472	
42	Nga lilo Bo sina	I shall go to Bo tomorrow		2996	
42	Ta wal_ ha	They will come today		3708	
42	Mua kpaa la l_ vonu	We shall make a farm next year		3224	
42	Ba ny_ lowei b__ sina yekei	You will dig a fish pond the day after tomorrow		3336	
43	Taa m_ma	He is eating it		528	
43	Nya h__ma	I am sewing it		644	
43	Wua ndolii gama	Your are dancing		764	
43	Tia lima	They are going		880	
43	Ngi wama limaa teihun	I am coming to go to town. I shall be going to town		7300	
43	Mu wama lima Bo l_	We are coming to go to Bo. We shall be going to Bo		1648	
43	Ngi lil_	I went		2120	
43	Pisk_isia ti p__ lil_	The Peace Corps built the house		2236	
43	Tewe	Cut		3000	
43	Ndowu	Hide		3060	
43	Pele	Road		3108	
43	Ngolo	Break		3176	
44	Bgi li_	I went		584	
44	I ndei_	He said it		640	
44	Mu m_a	We have eaten it		708	
44	Mu m_il_/m_nga	We have eaten it		708	
44	Pisk_isia ti waa	The Peace Corps have come		772	
44	Pisk_isia ti wanga	The Peace Corps have come		828	
44	Ngi lima	I am going		1172	
44	Ti piema	They are doing it		1232	
44	I wonga	It has broken		1288	
44	Nya wama	I am coming		1644	
44	Yaa m_ma	He is eating it		1704	
44	Kl_	in front		1996	
44	Mbla	male in-law		2056	
45	Tokoi	The hand		1876	
45	Domei	The shirt		2056	
45	P_l_i	The house		2228	
45	Kpukoi	The bed		2404	
46	Ja	Water		476	
46	Ja-lowei	Water well		536	
46	Ndowei	Hole		596	
46	Ndo	Child		708	
46	Mende lo	Mende child		772	
46	M_nde	Mende		832	
